rosbagTimestamp,linear,x,y,z,angular,x,y,z
318706000000,,0.0,0.0,0.0,,0.0,0.0,-1.0
318955000000,,0.0,0.0,0.0,,0.0,0.0,-1.0
319156000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
319357000000,,0.01,0.0,0.0,,0.0,0.0,-1.0
319558000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
319806000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
320059000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
320260000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
320510000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
320766000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
321006000000,,0.5,0.0,0.0,,0.0,0.0,-0.868421052632
321210000000,,0.5,0.0,0.0,,0.0,0.0,-0.868421052632
321460000000,,0.5,0.0,0.0,,0.0,0.0,-0.605263157895
321709000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
321956000000,,0.5,0.0,0.0,,0.0,0.0,-0.342105263158
322158000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
322410000000,,0.5,0.0,0.0,,0.0,0.0,0.0
322659000000,,0.5,0.0,0.0,,0.0,0.0,-0.210526315789
322907000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
323177000000,,0.5,0.0,0.0,,0.0,0.0,0.0
323410000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
323659000000,,0.5,0.0,0.0,,0.0,0.0,-0.0789473684211
323906000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
324110000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
324382000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
324608000000,,0.5,0.0,0.0,,0.0,0.0,0.0
324866000000,,0.5,0.0,0.0,,0.0,0.0,0.184210526316
325106000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
325308000000,,0.5,0.0,0.0,,0.0,0.0,0.184210526316
325529000000,,0.5,0.0,0.0,,0.0,0.0,0.184210526316
325758000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
325963000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
326230000000,,0.5,0.0,0.0,,0.0,0.0,0.184210526316
326460000000,,0.5,0.0,0.0,,0.0,0.0,0.0
326710000000,,0.5,0.0,0.0,,0.0,0.0,0.184210526316
326957000000,,0.5,0.0,0.0,,0.0,0.0,0.0
327158000000,,0.5,0.0,0.0,,0.0,0.0,0.0
327406000000,,0.5,0.0,0.0,,0.0,0.0,0.0
327609000000,,0.5,0.0,0.0,,0.0,0.0,0.0
327857000000,,0.5,0.0,0.0,,0.0,0.0,0.0526315789474
