rosbagTimestamp,linear,x,y,z,angular,x,y,z
485992000000,,0.0,0.0,0.0,,0.0,0.0,-1.0
486044000000,,0.0,0.0,0.0,,0.0,0.0,-1.0
486096000000,,0.0,0.0,0.0,,0.0,0.0,-1.0
486141000000,,0.0,0.0,0.0,,0.0,0.0,-1.0
486192000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486242000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486291000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486341000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486393000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486445000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486494000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486545000000,,0.0357894736842,0.0,0.0,,0.0,0.0,-1.0
486595000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
486647000000,,0.448421052632,0.0,0.0,,0.0,0.0,-1.0
486697000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
486748000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
486796000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
486847000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
486896000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
486945000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
486995000000,,0.474210526316,0.0,0.0,,0.0,0.0,-1.0
487045000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487103000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487141000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487191000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487246000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487291000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487341000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487392000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487444000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487494000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487544000000,,0.5,0.0,0.0,,0.0,0.0,-0.672436750563
487593000000,,0.5,0.0,0.0,,0.0,0.0,-1.0
487645000000,,0.5,0.0,0.0,,0.0,0.0,-0.868421052632
487696000000,,0.5,0.0,0.0,,0.0,0.0,-0.736842105263
487745000000,,0.5,0.0,0.0,,0.0,0.0,-0.868421052632
487796000000,,0.5,0.0,0.0,,0.0,0.0,-0.868421052632
487845000000,,0.5,0.0,0.0,,0.0,0.0,-0.868421052632
487895000000,,0.5,0.0,0.0,,0.0,0.0,-0.736842105263
487945000000,,0.5,0.0,0.0,,0.0,0.0,-0.605263157895
487996000000,,0.5,0.0,0.0,,0.0,0.0,-0.736842105263
488045000000,,0.5,0.0,0.0,,0.0,0.0,-0.605263157895
488100000000,,0.5,0.0,0.0,,0.0,0.0,-0.736842105263
488144000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488193000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488241000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488293000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488343000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488392000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488444000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
488496000000,,0.5,0.0,0.0,,0.0,0.0,-0.473684210526
