rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,goal_id,stamp,secs,nsecs,id,goal,target_pose,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
187261000000,,0,,187,261000000,'',,,187,261000000,"""/simple_navigation_goals-1-187.261000000""",,,,0,,187,260000000,"""odom""",,,-2.0,2.0,0.0,,0.0,0.0,0.0,1.0
198106000000,,1,,198,106000000,'',,,198,106000000,"""/simple_navigation_goals-2-198.106000000""",,,,0,,187,260000000,"""odom""",,,-2.0,6.0,0.0,,0.0,0.0,0.0,1.0
215007000000,,2,,215,7000000,'',,,215,7000000,"""/simple_navigation_goals-3-215.7000000""",,,,0,,187,260000000,"""odom""",,,4.0,4.0,0.0,,0.0,0.0,0.0,1.0
231057000000,,3,,231,57000000,'',,,231,57000000,"""/simple_navigation_goals-4-231.57000000""",,,,0,,187,260000000,"""odom""",,,-3.0,1.0,0.0,,0.0,0.0,0.0,1.0
258858000000,,4,,258,858000000,'',,,258,858000000,"""/simple_navigation_goals-5-258.858000000""",,,,0,,187,260000000,"""odom""",,,-5.0,5.0,0.0,,0.0,0.0,0.0,1.0
278609000000,,5,,278,609000000,'',,,278,609000000,"""/simple_navigation_goals-6-278.609000000""",,,,0,,187,260000000,"""odom""",,,5.0,2.0,0.0,,0.0,0.0,0.0,1.0
