rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,goal_id,stamp,secs,nsecs,id,goal,target_pose,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
554400000000,,0,,554,400000000,'',,,554,400000000,"""/simple_navigation_goals-1-554.400000000""",,,,0,,554,398000000,"""odom""",,,-1.0,6.0,0.0,,0.0,0.0,0.0,1.0
580401000000,,1,,580,401000000,'',,,580,401000000,"""/simple_navigation_goals-2-580.401000000""",,,,0,,554,398000000,"""odom""",,,-5.0,-3.0,0.0,,0.0,0.0,0.0,1.0
609901000000,,2,,609,901000000,'',,,609,901000000,"""/simple_navigation_goals-3-609.901000000""",,,,0,,554,398000000,"""odom""",,,0.0,-2.0,0.0,,0.0,0.0,0.0,1.0
624701000000,,3,,624,701000000,'',,,624,701000000,"""/simple_navigation_goals-4-624.701000000""",,,,0,,554,398000000,"""odom""",,,5.0,2.0,0.0,,0.0,0.0,0.0,1.0
644402000000,,4,,644,402000000,'',,,644,402000000,"""/simple_navigation_goals-5-644.402000000""",,,,0,,554,398000000,"""odom""",,,1.0,2.0,0.0,,0.0,0.0,0.0,1.0
667802000000,,5,,667,802000000,'',,,667,802000000,"""/simple_navigation_goals-6-667.802000000""",,,,0,,554,398000000,"""odom""",,,-5.0,1.0,0.0,,0.0,0.0,0.0,1.0
